Name,Price,Link,Customer Review,Review Count,Is Amazon's Choice (Recommendation),Seller,Original Listing Price (If Applicable),Specs List(If Applicable),Item Description,Shipping Option,Returning Option,Item Stock Level,Protection Plan Offered,Protection Plan Price (2 year),Protection Plan Price (4 year)
AT&T EL52313 3-Handset Expandable Cordless Phone with Answering System & Extra-large Backlit Keys,$52.97,https://www.amazon.com/AT-EL52313-3-Handset-Expandable-Extra-large/dp/B00J9RT5QU/ref=sr_1_18?keywords=phone&qid=1583976674&sr=8-18,4.1,8436,True,N/A,N/A,1 Handset / 2 Handsets / 3 Handsets / 5 Handsets / Accessory Handset / Expandable / Fixed,"Enjoy a speakerphone that can keep up with your calls. Increase participation by allowing both ends to speak—and be heard—at the same time for conversations that are more true to life. 
 Easy-to-read LCD on the cordless handset. High-contrast black text on a white background provides for an easy-to-read screen to view incoming Caller ID or review call history. The lighted keypad also allows for easy dialing in low-light conditions. 
 Enlarged font and extra-large, backlit keys make the keypad easy to use. This feature is especially helpful for those who are visually impaired. 
 Features digital recording features like 4 minutes of recording time , Call screening , Call intercept Remote access , Message retrieval from handset , Message time stamp 
 By allowing you to add up to 5 handsets using just one jack, the EL51203 is ideal for your busy home or small office (model EL50003 accessory handsets sold separately).",FREE Shipping,FREE Returns,In Stock.,True,N/A,$9.99
"BLU Vivo X5-5.7"" HD Display Smartphone, 64GB+3GB RAM-International Unlocked -Black",$89.99,https://www.amazon.com/BLU-Display-Smartphone-RAM-International-Unlocked/dp/B07ZGGH33V/ref=sr_1_19?keywords=phone&qid=1583976674&sr=8-19,4.1,41,True,BLU, $99.00,Vivo X5 - US Unlocked / Vivo X5 -International Unlocked,"13MP A.I Main Camera with Flash + 8MP Front Camera with Flash 
 64GB Internal memory 3GB RAM, and Micro SD up to 64GB 
 Fingerprint Sensor and Android 9 Pie 
 4G LTE (1/3/4/5/7/28) 3G: (850/1900/2100)",FREE Shipping,FREE Returns,In Stock.,True,$20.99,N/A
"VTech CS6529-2 DECT 6.0 Phone Answering System with Caller ID/Call Waiting, 2 Cordless Handsets, Silver/Black",$44.95,https://www.amazon.com/VTech-CS6529-2-Answering-Cordless-Handsets/dp/B00WHYS0CW/ref=sr_1_20?keywords=phone&qid=1583976674&sr=8-20,4.0,4070,True,VTech,N/A,Red / Silver / 2 Cordless Handsets / 1 Cordless Handset / 3 Cordless Handsets / 4 Cordless Handsets / Accessory Handset,"With the touch of a button, the handset speakerphones makes hands-free conversations easy. 
 The entire keypad illuminates along with the LCD screen, allowing for easier viewing in dim light. 
 Power-conserving technology manages consumption for optimal battery performance. 
 Silence the ringer on the handset and base unit immediately, or for an extended period of time. 
 Note: Refer the User Manual before use.",FREE Shipping,FREE Returns,In Stock.,True,N/A,$8.99
"Home Intuition Amplified Single Line Corded Desk Telephone with Extra Loud Ringer, Black",$39.95,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A10102809F6SQ3JY3JJ6&url=%2FHome-Intuition-Amplified-Single-Telephone%2Fdp%2FB079J9JB2D%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Dphone%26qid%3D1583976674%26sr%3D8-21-spons%26psc%3D1&qualifier=1583976674&id=2243645637218253&widgetName=sp_btf,3.9,67,False,N/A,N/A,N/A,"Vintage old school retro style single line telephone with 9 foot cord 
 Double-Gong Ringer with Volume Control 
 Works with Hearing Aids 
 Great as a Backup Phone for Power Outages 
 Compatible with Answering Machines and Caller ID",FREE Shipping,FREE Returns,In Stock.,True,N/A,$6.99
"Home Intuition Amplified Single Line Corded Desk Telephone with Extra Loud Ringer, Ash",$39.95,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_2?ie=UTF8&adId=A10101803D3M1AYKLRQ22&url=%2FHome-Intuition-Amplified-Single-Telephone%2Fdp%2FB079JWJ2KJ%2Fref%3Dsr_1_22_sspa%3Fkeywords%3Dphone%26qid%3D1583976674%26sr%3D8-22-spons%26psc%3D1&qualifier=1583976674&id=2243645637218253&widgetName=sp_btf,3.9,231,True,N/A,N/A,N/A,"Vintage old school retro style single line telephone with 9 foot cord 
 Double-Gong Ringer with Volume Control 
 Works with Hearing Aids 
 Great as a Backup Phone for Power Outages 
 Compatible with Answering Machines and Caller ID",FREE Shipping,FREE Returns,In Stock.,True,N/A,$6.99
Samsung Galaxy S20 5G Factory Unlocked New Android Cell Phone US Version | 128GB of Storage | Fingerprint ID and Facial Recognition | Long-Lasting Battery | US Warranty | Cloud Pink,$999.99,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A02624101O0LQDM0YEYHP&url=%2FSamsung-Unlocked-Fingerprint-Recognition-Long-Lasting%2Fdp%2FB082XXQDJF%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Dphone%26qid%3D1583976779%26sr%3D8-17-spons%26psc%3D1&qualifier=1583976779&id=5103388748235808&widgetName=sp_atf_next,3.1,16,False,N/A,N/A,S20 5G / S20 5G w/ Free Galaxy Buds and DUO Pad / S20 Ultra / S20 Ultra w/ Free Galaxy Buds and DUO Pad / S20+ / S20+ w/ Free Galaxy Buds and DUO Pad / 128GB / 512GB / Cloud Blue / Cloud Pink / Cosmic Gray / Cosmic Black,"Power of 5G: Get next-level power for everything you love to do with Samsung Galaxy 5G; Share more, game harder, experience more and never miss a beat 
 Single Take AI: Capture video and multiple types of images with one tap of the shutter button; Lenses, effects and filters capture the best of every moment, every time 
 Hi-Res Camera Zoom: Capture hi-res images as if you’re 3 feet away, from 100 feet away; Whether you want to zoom in close from afar or magnify details nearby, the new 30x Space Zoom gives you impressive power and clarity 
 Bright Night Mode: Capture crisp images and vibrant video in Bright Night mode and create high-quality content in low light – no flash needed 
 Super Fast Charging: Charge up quicker with Super Fast Charge so you can keep moving with more juice; Give your buds – or Galaxy buds – a boost of power with Wireless PowerShare right from Galaxy S20 5G 
 All-Day Battery: Galaxy S20 5G’s intelligent battery uses an algorithm to learn from how you live to optimize power and take you through a day or more of work and life without ever giving out on you 
 Massive Storage: Generous storage out of the box and expandable memory means you never have to delete what’s important to you; Memory card sold separately",FREE Shipping,FREE Returns,Usually ships within 2 to 4 weeks.,True,$94.99,N/A
"Senior Landline Phones for Home – Home Phones for Seniors and The Hearing and Vision Impaired – 3 Volume Settings, Extra Loud Ringer, Large Backlit Keypad and Voice Amplification – Wall Mount Ready!",$42.00,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_2?ie=UTF8&adId=A0166309MWPOHN12OPHT&url=%2FTrimline-Corded-Phone-impaired-Telephone%2Fdp%2FB00CTC9QGG%2Fref%3Dsr_1_18_sspa%3Fkeywords%3Dphone%26qid%3D1583976779%26sr%3D8-18-spons%26psc%3D1&qualifier=1583976779&id=5103388748235808&widgetName=sp_atf_next,3.7,531,False,N/A,N/A,Classic Blue / Crimson Red / Earth Day Green / Ladies Pink,"★ UNLIKE OTHER LAND LINE TELEPHONES for home that DON’T PICK UP VOICES well and make it HARDER – NOT EASIER – TO HEAR the person on the other end of the line, the iSoHo Trimline Corded Phone has a TARGETED VOICE AMPLIFIER microphone UNIQUELY DESIGNED to amplify softer voices, as well as 3 ADJUSTABLE VOLUME CONTROLS and an EXTRA LOUD RINGER. Created for seniors and the hearing-impaired, our home phone is also the best landline phone for those with LOW SPEECH and LIMITED MOBILITY. 
 ★ DON’T SETTLE FOR landline phones for seniors THAT FALL SHORT of what your loved ones need, with UNRELIABLE FUNCTIONS and buttons that are TOO HARD TO SEE. Our house phone is designed with the exact special features needed by the elderly and vision-impaired – including a keypad with EXTRA-LARGE NUMBERS that are also BACKLIT for increased visibility, day or night. Our corded telephone also has an optional RING ALERT STROBE LIGHT, so users can CLEARLY SEE when a call is coming in. 
 ★ LIGHTWEIGHT, EASY TO HOLD DESIGN! Inspired by the 1965 vintage Princess Phone, your elderly parent or relative will love our landline corded phones for home ’s RETRO EXTERIOR – which features an upgraded DURABLE, LIGHTWEIGHT BODY that’s easy to hold and WON’T AGGRAVATE ARTHRITIS. Comes with a phone mount – whether on a table or mounted to the wall, our senior phone adds a fun VINTAGE TOUCH to any decor! 
 ★ OUR 3-YEAR PROMISE TO YOU: Many landline telephones for home are downright frustrating to use, with unreliable, spotty dial tones and inconsistent functions. We’ve designed and tested our wall phones with the HIGHEST QUALITY PERFORMANCE and functionality in mind, for FIRST-RATE RELIABILITY at all times. Try our wall phone for UP TO 3 YEARS – if you aren’t completely satisfied with your wall phones for landline we’ll RETURN YOUR PAYMENT in full. 
 ★ AT ISOHO PHONES, WE KNOW HOW IMPORTANT IT IS TO keep in touch with your loved ones. We made it our mission to design the best phone for the elderly and hearing impaired, to EMPOWER them to TALK WITH FAMILY AND FRIENDS over the phone despite the hindrances of age and disability. Our customers are our top priority – please don’t hesitate to REACH OUT TO US with any questions you may have. WE’RE ALWAYS HERE TO HELP.",FREE Shipping,FREE Returns,In Stock.,True,N/A,$8.99
"Samsung Galaxy A51 (128GB, 4GB) 6.5"", 48MP Quad Camera, Dual SIM GSM Unlocked A515F/DS- Global 4G LTE International Model (Prism Crush White)",$284.95,https://www.amazon.com/Samsung-Galaxy-Camera-Unlocked-International/dp/B083NJRP1L/ref=sr_1_19?keywords=phone&qid=1583976779&sr=8-19,4.5,15,False,Samsung,N/A,Prism Crush Black / Prism Crush Blue / Prism Crush White / 128 GB / 128GB + 64GB SD + Case Bundle,"Will NOT work with CDMA Carriers Such as Verizon, Sprint, Boost Dual SIM International model phone, Does NOT have US warranty. Will work with Most GSM SIM cards in U.S. and world Including AT&T, T-Mobile, MetroPCS. 
 4G: FDD LTEB1(2100), B2(1900), B3(1800), B4(AWS), B5(850), B7(2600), B8(900), B12(700), B13(700), B17(700), B20(800), B26(850), B28(700), B66(AWS-3), 4G: TDD LTEB38(2600), B40(2300), B41(2500) 2G: GSM850, GSM900, DCS1800, PCS1900, 3G: UMTSB1(2100), B2(1900), B4(AWS), B5(850), B8(900) 
 Quad Rear Camera: 48MP + 12MP + 5MP + 5MP, Rear Camera Zoom: Digital Zoom up to 8x, Front Camera: 32MP 
 RAM: 4GB, ROM: 128GB, MicroSD (Up to 512GB), Octa-Core, 2.3GHz, 1.7GHz, Exynos 9611, 4000 mAh Battery, On-Screen Fingerprint scanner 
 Display: 164.0mm (6.5""), Infinity-O Display, Super AMOLED, Resolution: 1080 x 2400 (FHD+), Color Depth: 16M",FREE Shipping,FREE Returns,"In stock on March 17, 2020.",True,$54.99,N/A
"ZTE Blade L8 5"" 16GB Android 9.0 Pie Go Edition Factory Unlocked (Blue)",$49.97,https://www.amazon.com/ZTE-Blade-Android-Factory-Unlocked/dp/B07TWNXLLD/ref=sr_1_20?keywords=phone&qid=1583976779&sr=8-20,3.8,21,False,ZTE,N/A,Black / Blue / Gold,"16 GB, 1 GB RAM ARM Cortex-A53, 1400 MHz, Quad Core 
 8 MP, AF LED flash, HDR 
 Dual SIM Li-Ion 2000 mAh battery 
 GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 3G HSDPA 900 / 2100 
 GSM Version (DOESNT WORK WITH CDMA CARRIERS LIKE VERIZON AND SPRINT)",FREE Shipping,FREE Returns,In Stock.,True,$6.99,N/A
"Xiaomi Redmi Note 8 64GB + 4GB RAM, 6.3"" LTE 48MP Factory Unlocked GSM Smartphone - International Version (Moonlight White)",$159.76,https://www.amazon.com/Xiaomi-Redmi-Factory-Unlocked-Smartphone/dp/B07YJHXZT6/ref=sr_1_21?keywords=phone&qid=1583976779&sr=8-21,4.7,3015,True,Xiaomi, $299.99,Neptune Blue / Space Black / White,"6.3 inches 1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density) - Fingerprint (rear-mounted) 
 64GB + 4GB RAM - microSD, up to 256 GB - Qualcomm SDM665 Snapdragon Octa-core - Non-removable Li-Po 4000 mAh battery 
 Rear (Main) Camera: Quad 48MP(wide) + 8MP(ultrawide) + 2MP(dedicated macro camera) + 2MP - Front Camera: 13 MP, f/2.0 - Video: 2160p@30fps, 1080p@30/60/120fps, 720p@960fps 
 Unlocked cellphones are compatible with most of the GSM carriers ( Like T-Mobile or AT&T ) but please be aware that are not compatible with CDMA carriers ( Like Sprint or Verizon Wireless for example ) - FCC ID: 2AFZZC3JG",FREE Shipping,FREE Returns,Only 1 left in stock - order soon.,False,N/A,N/A
"BLU G9 Pro -6.3” Full HD Smartphone with Triple Main Camera, 128GB+4GB RAM -Nightfall",$199.99,https://www.amazon.com/BLU-Smartphone-Triple-Camera-Nightfall/dp/B07VB5LDD1/ref=sr_1_22?keywords=phone&qid=1583976779&sr=8-22,4.2,581,True,BLU,N/A,N/A,"A.I Triple Camera 48MP + 2MP Depth Sensor + 8MP Wide Angle 120° Camera with flash, and 16MP Selfie camera 
 128GB Internal memory 4GB RAM Micro SD up to 128GB; Mediatek Helio P60 Octa-Core 2.0GHz processor | 64 bit with AI technology 
 Super 4,000mAh battery with 18W Ultra Quick Charge, Wireless Charging Compatible, and Fingerprint sensor 
 4G LTE (1/2/3/4/5/7/8/12/13/17/28) 3G: (850/900/1700/1900/2100): US compatibility Nationwide on all GSM Networks including AT&T, T-Mobile, Cricket, Metro PCS, and others. Not compatible with CDMA Networks like Verizon, Sprint and Boost Mobile)",FREE Shipping,FREE Returns,In Stock.,True,$48.99,N/A
Panasonic DECT 6.0 Expandable Cordless Phone System with Answering Machine and Call Blocking - 3 Handsets - KX-TGE433B (Black),$86.86,https://www.amazon.com/PANASONIC-Expandable-Cordless-Answering-Blocking/dp/B01HXMJ14S/ref=sr_1_23?keywords=phone&qid=1583976779&sr=8-23,4.2,4189,True,Panasonic,N/A,2 Handsets / 3 Handsets / 4 Handsets / 5 Handsets / Accessory Handset / Easy Use / Easy Use w/ Dual Keypad,"BI Lingual Caller ID : Talking caller ID audibly announces caller information in either English or Spanish from the telephone’s base unit and cordless handsets when you can't view the screen 
 One Touch Telephone Call Block : Register up to 250 numbers with one touch call block on the cordless phone base unit & cordless handsets; Compatible with hearing Aid T Coil (TIA 1083 compliant) 
 Panasonic Voice Paging : More than a traditional intercom, voice paging sends clear simultaneous announcements to all cordless handsets at once; Talk Time:12 hours max 
 Enhanced cordless phone sound quality noise reduction automatically suppresses background interference while enhancing voice tones for clearer conversation on the base unit & cordless handsets 
 Secure Long Range phone Signal Dect 6.0 wireless technology offers a long range cordless phone and is ideal for homes and apartments with thick walls",FREE Shipping,FREE Returns,In Stock.,True,N/A,$14.99
"Moto G7 with Alexa Hands-Free – Unlocked – 64 GB – Ceramic Black (US Warranty) – Verizon, AT&T, T–Mobile, Sprint, Boost, Cricket, & Metro",$229.99,https://www.amazon.com/Moto-G7-Alexa-Hands-Free-Unlocked/dp/B07N92347B/ref=sr_1_24?keywords=phone&qid=1583976779&sr=8-24,4.3,2487,True,motorola,N/A,Ceramic Black / Clear White / Deep Indigo / Marine Blue,"Pre-installed selection of Amazon apps, including Amazon Shopping, Amazon Music, Audible and Amazon Alexa 
 Amazon exclusive version with Amazon Alexa built-in: Simply say “Alexa” or double press the power button to play music, hear the news or check the weather wherever you are. Just ask - and Alexa will respond instantly 
 6.2"" Full HD+ Max Vision display (2270 x 1080) with 19:9 aspect ratio, 4 GB of RAM and 64 GB of internal storage with option to add up to 512 GB of microSD expandable memory, Android 9.0, and US warranty 
 Qualcomm Snapdragon 632 processor with 1.8 GHz octa-core CPU and Adreno 506 GPU 
 12MP + 5MP dual camera with LED flash, 8 MP front-facing camera with screen flash for low light selfies 
 3,000 mAh non-removable battery with USB Type-C 18W TurboPower charger 
 Facial recognition and fingerprint sensor to instantly unlock your phone 
 Unlocked for the freedom to choose your carrier. Compatible with AT&T, Sprint, T-Mobile, and Verizon networks. SIM card not included. Customers may need to contact Sprint for activation on Sprint’s network",FREE Shipping,FREE Returns,In Stock.,True,$54.99,N/A
"BLU VIVO X6-6.1” HD+ Display, 64GB+3GB RAM - Gradient Blue",$109.99,https://www.amazon.com/BLU-VIVO-X6-6-1-Display-64GB/dp/B0843HCT63/ref=sr_1_25?keywords=phone&qid=1583976779&sr=8-25,3.8,44,True,BLU, $129.99,N/A,"Dual 13MP+ Depth Sensor Main Camera with LED Flash + 13 MP Selfie Camera 
 64GB Internal Memory 3GB RAM Micro SD up to 64GB; 1.6GHz Octa-Core Processor| ARM Corterx-A55 with IMG8322 GPU 
 4,000mAH Battery with 10W Quick Charge, Android 9 Pie and Fingerprint Senor 
 4G LTE (1/2/3/4/5/7/12/17/28) 3G: (850/900/1700/1900/2100): US compatibility Nationwide on all GSM Networks including AT&T, T-Mobile, Cricket, Metro PCS, and others. (Not compatible with CDMA Networks like Verizon, Sprint and Boost Mobile)",FREE Shipping,FREE Returns,In Stock.,False,N/A,N/A
Samsung Galaxy S8 - Unlocked  - Midnight Black (Renewed),$218.66,https://www.amazon.com/Samsung-Galaxy-Unlocked-Smartphone-Carriers/dp/B0786PRKBP/ref=sr_1_26?keywords=phone&qid=1583976779&sr=8-26,4.1,877,False,N/A, $247.00,Arctic Silver / Maple Gold / Midnight Black / Black / Coral Blue / Orchid Gray / S8 / S8 Plus,"Infinity display: a bezel-less, full-frontal, edge-to-edge screen. Default resolution is full HD+ and can be changed to quad HD+ (WQHD+) in settings 
 Camera resolution - front: 8 MP AF, rear: 12 MP OIS AF 
 Memory: Internal memory 64 GB, RAM 4GB",N/A,N/A,In Stock.,False,N/A,N/A
"Trimline Corded Phone - Senior Landline Phones for Home – Home Phones for Seniors and the Hearing and Vision Impaired, Extra Loud Ringer, Large Backlit Keypad and Voice Amplification Wall Mount Ready!",$42.00,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A0167145HBX5UDLUR5J7&url=%2FTrimline-Phone-impaired-Telephone-Improved%2Fdp%2FB00CY470WG%2Fref%3Dsr_1_27_sspa%3Fkeywords%3Dphone%26qid%3D1583976779%26sr%3D8-27-spons%26psc%3D1&qualifier=1583976779&id=5103388748235808&widgetName=sp_mtf,3.6,59,False,iSoHo Phones,N/A,N/A,"★ UNLIKE OTHER LAND LINE TELEPHONES for home that DON’T PICK UP VOICES well and make it HARDER – NOT EASIER – TO HEAR the person on the other end of the line, the iSoHo Trimline Corded Phone has a TARGETED VOICE AMPLIFIER microphone UNIQUELY DESIGNED to amplify softer voices, as well as 3 ADJUSTABLE VOLUME CONTROLS and an EXTRA LOUD RINGER. Created for seniors and the hearing-impaired, our home phone is also the best landline phone for those with LOW SPEECH and LIMITED MOBILITY. 
 ★ DON’T SETTLE FOR landline phones for seniors THAT FALL SHORT of what your loved ones need, with UNRELIABLE FUNCTIONS and buttons that are TOO HARD TO SEE. Our house phone is designed with the exact special features needed by the elderly and vision-impaired – including a keypad with EXTRA-LARGE NUMBERS that are also BACKLIT for increased visibility, day or night. Our corded telephone also has an optional RING ALERT STROBE LIGHT, so users can CLEARLY SEE when a call is coming in. 
 ★ LIGHTWEIGHT, EASY TO HOLD DESIGN! Inspired by the 1965 vintage Princess Phone, your elderly parent or relative will love our landline corded phones for home ’s RETRO EXTERIOR – which features an upgraded DURABLE, LIGHTWEIGHT BODY that’s easy to hold and WON’T AGGRAVATE ARTHRITIS. Comes with a phone mount – whether on a table or mounted to the wall, our senior phone adds a fun VINTAGE TOUCH to any decor! 
 ★ OUR 3-YEAR PROMISE TO YOU: Many landline telephones for home are downright frustrating to use, with unreliable, spotty dial tones and inconsistent functions. We’ve designed and tested our wall phones with the HIGHEST QUALITY PERFORMANCE and functionality in mind, for FIRST-RATE RELIABILITY at all times. Try our wall phone for UP TO 3 YEARS – if you aren’t completely satisfied with your wall phones for landline we’ll RETURN YOUR PAYMENT in full. 
 ★ AT ISOHO PHONES, WE KNOW HOW IMPORTANT IT IS TO keep in touch with your loved ones. We made it our mission to design the best phone for the elderly and hearing impaired, to EMPOWER them to TALK WITH FAMILY AND FRIENDS over the phone despite the hindrances of age and disability. Our customers are our top priority – please don’t hesitate to REACH OUT TO US with any questions you may have. WE’RE ALWAYS HERE TO HELP.",FREE Shipping,FREE Returns,In Stock.,True,N/A,$8.99
Trimline Corded Phone - Phones for Seniors - Phone for Hearing impaired - Black - Retro Novelty Telephone - an Improved Version of The Princess Phones in 1965 - Style Big Button,$42.00,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_2?ie=UTF8&adId=A016744535ZWM627T0J15&url=%2FTrimline-Corded-Phone-impaired-Telephone%2Fdp%2FB00CU6S87Y%2Fref%3Dsr_1_28_sspa%3Fkeywords%3Dphone%26qid%3D1583976779%26sr%3D8-28-spons%26psc%3D1&qualifier=1583976779&id=5103388748235808&widgetName=sp_mtf,3.5,121,True,iSoHo Phones,N/A,N/A,"✅ IDEAL FOR moderate to severe hearing loss, low speech, limited mobility or low vision. Lightweight, arthritis friendly desktop telephone. Easy See Buttons. Volume XL Amplifier. Ringer Strobe Alert. 
 ✅ NEVER MISS A CALL: Ringer alert strobe light and extra loud ringer visually and auditorily alert you to incoming calls. Set it to silent to stop ringer, and still see strobe light. 
 ✅ ELEVATE YOUR DECOR - Retro, vintage Princess Phone from 1965 is now UPGRADED for more durability and features that make sense, without overwhelming. 
 ✅ SIMPLE FEATURES: Trimline Phone in Red, Blue, Black have large Easy-See Backlit Numbers - Lighted Dial Mode - Electronics Ringer on/offswitch located on bottom of base - High/low volume control located on handset - Directory card included - With Ring Alert Strobe Light 
 ✅ 3 Year Warranty - 30 Day Money Back Guarantee: Try it risk-free for 30 days. Love it. Hear your loved ones and doctor clearly. Dial the rightperson every time without frustration or your money back",FREE Shipping,FREE Returns,In Stock.,True,N/A,$8.99
"AT&T DECT 6.0 Expandable Cordless Phone with Answering System, Silver/Black with 4 Handsets",$79.88,https://www.amazon.com/AT-CL82407-Expandable-Cordless-Answering/dp/B0735QBGCL/ref=sr_1_29?keywords=phone&qid=1583976779&sr=8-29,4.3,3378,True,AT&T, $99.95,Silver/Black / Rose Gold / Digital Answering System with 2 Handsets / Digital Answering System with 3 Handsets / Digital Answering System with 4 Handsets / Expansion Handset Only / Digital Answering System with 5 Handsets,"Digital Answering system with voice guide records up to 22 minutes 
 HD audio with Equalizer for customized audio 
 Backlit keypad and high-contrast LCD 
 Caller ID records past 50 names and numbers. 
 Smart call Blocker saves up to 1, 000 names and numbers. Voicemail waiting indicator. Message retrieval from Handset 
 50 Name and number phonebook Directory 
 Unsurpassed range coverage and clarity",FREE Shipping,FREE Returns,In Stock.,True,N/A,$9.99
"PANASONIC Cordless Phone System with Answering Machine, One-Touch Call Block, Enhanced Noise Reduction, Talking Caller ID and Intercom Voice Paging - 3 Handsets - KX-TGF543B (Black)",$86.03,https://www.amazon.com/Panasonic-KX-TGF543B-Expandable-Cordless-Answering/dp/B072KJ2C41/ref=sr_1_30?keywords=phone&qid=1583976779&sr=8-30,4.3,1823,True,N/A,N/A,Black / Silver / 3 Handsets / 4 Handsets / 5 Handsets / Dual Keypad / Dual Keypad + Link2Cell / Dual Keypad + Link2Cell+ HD Voice / Single / Phone System + Battery / Phone System + Comfort-Fit / Phone System + Handset Accessory / Phone System + Range Extender,"ONE TOUCH TELEPHONE CALL BLOCK - Register up to 250 numbers with one-touch Call Block on the cordless phone base unit & cordless handsets. Compatible with Hearing Aid T-Coil (TIA-1083 Compliant) 
 BI-LINGUAL CALLER ID - Talking Caller ID audibly announces caller information in either English or Spanish from the telephone’s base unit and cordless handsets when you can't view the screen 
 ENHANCED CORDLESS PHONE SOUND QUALITY - Noise Reduction automatically suppresses background interference while enhancing voice tones for clearer conversation on the base unit & cordless handsets 
 INTERCOM VOICE PAGING - Wake kids for school or let everyone know when dinner is ready with Panasonic's exclusive Voice Paging. VP makes it easy to send clear, simultaneous announcements to every handset in the house, even when family members don't respond 
 SECURE LONG-RANGE PHONE SIGNAL - DECT 6.0 wireless technology offers a long-range cordless phone and is ideal for home, home office and apartments with thick walls 
 NOTE: KINDLY REFER USER GUIDE BEFORE USE",FREE Shipping,FREE Returns,In Stock.,True,N/A,$14.99
"BLU Studio Mini -5.5HD Smartphone, 32GB+2GB Ram -Black",$71.99,https://www.amazon.com/BLU-Studio-5-5HD-Smartphone-Black/dp/B07SSCJHT1/ref=sr_1_31?keywords=phone&qid=1583976779&sr=8-31,4.0,431,True,N/A,N/A,Studio Mega 2019 / Studio Mini,"5.5”Hd+ 18:9 Curved Glass Display 720x1440 Resolution. 
 13MP Main Camera with LED Flash, 8MP Selfie camera with LED Flash. 
 32GB Internal memory 2GB RAM Micro SD up to 64GB; Octa-Core 1.6GHz processor with ARM Cortex-A55 chipset. 
 3,000mAh Battery and Android 9 Pie. 
 4G LTE (2/4/5/12/17) 3G: (850/1700/1900): US compatibility Nationwide on all GSM Networks including AT&T, T-Mobile, Cricket, Metro PCS, and others. Not compatible with CDMA Networks like Verizon, Sprint and Boost Mobile.",FREE Shipping,FREE Returns,In Stock.,False,N/A,N/A
"Apple iPhone 8, 64GB, Gold - Fully Unlocked (Renewed)",$227.28,https://www.amazon.com/Apple-iPhone-Fully-Unlocked-64GB/dp/B0775717ZP/ref=sr_1_32?keywords=phone&qid=1583976779&sr=8-32,4.1,3513,False,N/A,N/A,Gold / Red / Silver / Space Gray / 64GB / 256GB / AT&T / AT&T / T-Mobile / Fully Unlocked / Sprint / Sprint / Verizon / T-Mobile / Verizon,"The device does not come with headphones or a SIM card. It does include a charger and charging cable that may be generic, in which case it will be UL or Mfi (Made for iPhone) Certified. 
 Inspected and guaranteed to have minimal cosmetic damage, which is not noticeable when the device is held at arms length. 
 Successfully passed a full diagnostic test which ensures like-new functionality and removal of any prior-user personal information. 
 Tested for battery health and guaranteed to have a minimum battery capacity of 80%.",N/A,N/A,Only 4 left in stock - order soon.,True,$54.99,N/A
Samsung Galaxy S10 Factory Unlocked Phone with 128GB - Prism Black,$721.77,https://www.amazon.com/Samsung-Galaxy-Factory-Unlocked-Phone/dp/B07N4M412B/ref=sr_1_33?keywords=phone&qid=1583976779&sr=8-33,4.5,973,True,Samsung, $899.99,S10+ / S10+ w/ Free AKG N700NC Headphones / S10 / S10 w/ Free AKG N700NC Headphones / S10e / S10e w/ Free AKG N700NC Headphones / 1TB / 128GB / 256GB / 512GB / Black / White / Flamingo Pink / Prism Blue,"Ultrasonic in display fingerprint ID protects and unlocks with the first touch 
 Pro grade Camera effortlessly captures epic, pro quality images of the world as you see it 
 Intelligently accesses power by learning how and when you use your phone. Wi Fi Connectivity 802.11 a/b/g/n/ac/ax 2.4G+5GHz, HE80, MIMO, 1024 QAM. Wi Fi Direct Yes",FREE Shipping,FREE Returns,In Stock.,True,$94.99,N/A
